Data from Transmission_12-15-59-048.txt Node
Date: Thu Aug 01 12:15:59 CEST 2019
User: Ocean Optics
Spectrometer: QEP02356
Trigger mode: 4
Integration Time (sec): 1.000000E-1
Scans to average: 100
Electric dark correction enabled: true
Nonlinearity correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1044
>>>>>Begin Spectral Data<<<<<
194.596	75.53
195.4	75.28
196.203	66.57
197.007	128.61
197.81	17.01
198.613	17.36
199.417	17.27
200.22	17.53
201.023	17.48
201.826	17.11
202.629	16.65
203.432	16.95
204.235	16.42
205.038	16.3
205.84	16.36
206.643	16.71
207.445	18.04
208.248	19.22
209.05	20.15
209.853	20.1
210.655	19.55
211.457	19.48
212.259	19.18
213.061	19.29
213.863	19.07
214.665	18.77
215.467	18.48
216.269	17.51
217.07	16.27
217.872	14.76
218.674	14.19
219.475	13.57
220.277	12.5
221.078	11.02
221.879	10.02
222.68	9.17
223.481	9.07
224.283	8.8
225.084	8.17
225.884	7.26
226.685	6
227.486	4.97
228.287	3.14
229.087	1.85
229.888	1.58
230.688	2.29
231.489	2.91
232.289	3.29
233.089	4.18
233.89	3.98
234.69	3.3
235.49	3.34
236.29	3.6
237.09	3.56
237.89	3.65
238.689	3.66
239.489	3.37
240.289	2.96
241.088	2.45
241.888	1.88
242.687	1.39
243.486	1.26
244.286	1.69
245.085	2.12
245.884	1.94
246.683	1.23
247.482	0.72
248.281	0.7
249.08	0.97
249.878	1.28
250.677	1.67
251.476	1.65
252.274	1.21
253.073	1.02
253.871	1.29
254.67	1.57
255.468	1.6
256.266	1.57
257.064	1.45
257.862	1.26
258.66	1.09
259.458	0.79
260.256	0.51
261.054	0.46
261.851	0.72
262.649	0.98
263.446	1.02
264.244	1.14
265.041	1.24
265.839	1.17
266.636	1.05
267.433	0.93
268.23	0.92
269.027	0.96
269.824	1.03
270.621	1.04
271.418	0.98
272.215	0.92
273.011	0.85
273.808	0.84
274.604	0.95
275.401	1.07
276.197	1.1
276.994	1.09
277.79	1.1
278.586	1.15
279.382	1.17
280.178	1.18
280.974	1.14
281.77	1.09
282.566	1.08
283.361	1.06
284.157	1.09
284.953	1.06
285.748	0.99
286.544	1.02
287.339	1.15
288.134	1.35
288.93	1.5
289.725	1.81
290.52	2.43
291.315	3.02
292.11	2.99
292.905	2.57
293.699	2.35
294.494	2.38
295.289	2.45
296.083	2.45
296.878	2.28
297.672	2.05
298.467	1.99
299.261	2.15
300.055	2.35
300.849	2.5
301.643	2.67
302.437	2.91
303.231	3.27
304.025	3.64
304.819	3.87
305.612	4.05
306.406	4.14
307.2	4.18
307.993	4.21
308.786	4.26
309.58	4.39
310.373	4.6
311.166	5.02
311.959	5.68
312.752	6.5
313.545	7.78
314.338	9.2
315.131	10.34
315.924	11.19
316.716	11.71
317.509	11.83
318.302	11.73
319.094	11.5
319.886	11.22
320.679	11.14
321.471	11.35
322.263	11.79
323.055	12.45
323.847	13.39
324.639	14.62
325.431	16.06
326.223	17.79
327.015	19.42
327.806	20.53
328.598	21.28
329.389	21.38
330.181	21.12
330.972	20.92
331.763	20.87
332.555	21.2
333.346	21.85
334.137	23.11
334.928	24.92
335.719	27.22
336.51	30.05
337.3	33.32
338.091	36.84
338.882	39.95
339.672	42.59
340.463	44.48
341.253	45.45
342.043	45.79
342.834	45.97
343.624	45.94
344.414	46.04
345.204	46.29
345.994	46.87
346.784	47.88
347.574	49.21
348.363	50.86
349.153	52.72
349.943	54.74
350.732	56.3
351.521	57.44
352.311	58.07
353.1	58.1
353.889	58.04
354.678	57.85
355.468	57.52
356.257	57.55
357.045	57.78
357.834	58.46
358.623	59.44
359.412	60.69
360.2	62.24
360.989	64.01
361.777	65.92
362.566	68.02
363.354	70.08
364.142	72.62
364.931	75.08
365.719	77.51
366.507	79.76
367.295	81.76
368.083	83.49
368.87	84.98
369.658	86.28
370.446	87.37
371.233	88.35
372.021	89.36
372.808	90.21
373.596	90.84
374.383	91.49
375.17	92.15
375.957	92.87
376.745	93.54
377.532	93.87
378.318	94.36
379.105	94.49
379.892	94.52
380.679	94.75
381.465	94.79
382.252	94.74
383.038	94.41
383.825	94.13
384.611	93.81
385.397	93.47
386.184	93.08
386.97	92.91
387.756	92.88
388.542	93.1
389.328	93.41
390.113	93.82
390.899	94.41
391.685	95.18
392.47	95.71
393.256	96.14
394.041	96.41
394.827	96.6
395.612	96.54
396.397	96.41
397.182	96.04
397.967	95.77
398.752	95.68
399.537	95.63
400.322	95.53
401.107	95.48
401.891	95.53
402.676	95.61
403.461	95.6
404.245	95.61
405.029	95.56
405.814	95.37
406.598	95.15
407.382	95.13
408.166	94.93
408.95	94.69
409.734	94.36
410.518	94.07
411.302	93.65
412.086	92.87
412.869	91.81
413.653	90.46
414.436	88.93
415.22	87.42
416.003	86.1
416.786	84.93
417.569	83.91
418.353	83.09
419.136	82.63
419.919	82.4
420.701	82.31
421.484	82.28
422.267	82.17
423.05	81.96
423.832	81.44
424.615	80.64
425.397	79.68
426.18	78.54
426.962	77.21
427.744	75.8
428.526	74.52
429.308	73.44
430.09	72.75
430.872	72.34
431.654	72.02
432.436	71.86
433.217	71.68
433.999	71.39
434.781	70.7
435.562	69.42
436.343	67.69
437.125	65.57
437.906	63.17
438.687	60.69
439.468	58.22
440.249	55.84
441.03	53.63
441.811	51.66
442.592	49.89
443.372	48.13
444.153	46.43
444.934	44.89
445.714	43.45
446.494	42.07
447.275	40.72
448.055	39.29
448.835	37.74
449.615	36.06
450.395	34.4
451.175	32.8
